order_id,date_commande,pays,ville,canal_vente,segment_client,categorie_produit,produit,quantite,prix_unitaire_fcfa,remise_pourcentage,chiffre_affaires_fcfa,cout_fcfa,profit_fcfa,methode_paiement,campagne_marketing,satisfaction_client
CMD-100001,2026-01-21,RCA,Bangui,Instagram,Particulier,Téléphones,iPhone 13,4,497017,15,1689858,976186,713672,Mobile Money,Promo rentrée,3.2
CMD-100002,2025-05-09,Cameroun,Yaoundé,Site web,PME,Alimentation,Riz 25kg,9,22793,15,174367,128919,45448,Mobile Money,Campagne Facebook Ads,3.4
CMD-100003,2025-02-17,Guinée équatoriale,Malabo,Facebook,Grande entreprise,Mode,Chemise homme,5,16899,0,84495,48804,35691,Espèces,Campagne Facebook Ads,3.2
CMD-100004,2025-01-10,Congo,Nkayi,Revendeur,Particulier,Alimentation,Riz 25kg,15,23871,10,322259,202751,119508,Mobile Money,Soldes Ramadan,4.2
CMD-100005,2025-01-17,Cameroun,Garoua,Facebook,Particulier,Téléphones,Tecno Spark 20,14,78646,0,1101044,740364,360680,Espèces,Soldes Ramadan,3.3
CMD-100006,2024-07-06,RCA,Bangui,Revendeur,Grande entreprise,Alimentation,Huile 5L,9,10281,0,92529,62439,30090,Carte bancaire,Soldes Ramadan,5.0
CMD-100007,2026-03-07,Gabon,Libreville,Facebook,Particulier,Électroménager,Réfrigérateur LG,13,411122,0,5344586,3035034,2309552,Virement bancaire,Promo WhatsApp,4.8
CMD-100008,2026-04-12,RCA,Berbérati,Site web,PME,Électroménager,Télévision Hisense 43,3,221181,10,597189,415359,181830,Espèces,Black Friday,3.9
CMD-100009,2025-05-14,Cameroun,Bafoussam,Instagram,PME,Téléphones,Samsung Galaxy A15,14,88104,15,1048438,621928,426510,Virement bancaire,Aucune campagne,4.2
CMD-100010,2024-11-27,Gabon,Franceville,Instagram,Particulier,Téléphones,Samsung Galaxy A15,11,106513,0,1171643,887544,284099,Virement bancaire,Promo rentrée,3.2
CMD-100011,2025-11-05,RCA,Berbérati,WhatsApp Business,PME,Alimentation,Huile 5L,9,10717,15,81986,51698,30288,Carte bancaire,Aucune campagne,4.2
CMD-100012,2024-09-21,Guinée équatoriale,Malabo,WhatsApp Business,Grande entreprise,Alimentation,Boisson gazeuse,8,3167,0,25336,19945,5391,Mobile Money,Promo rentrée,3.5
CMD-100013,2025-12-16,RCA,Berbérati,Instagram,Particulier,Téléphones,Tecno Spark 20,3,90519,10,244402,145317,99085,Carte bancaire,Soldes Ramadan,4.7
CMD-100014,2023-05-12,Gabon,Port-Gentil,Site web,Grande entreprise,Informatique,Clé USB 64GB,15,9264,0,138960,85729,53231,Carte bancaire,Aucune campagne,3.7
CMD-100015,2023-05-26,Cameroun,Douala,Facebook,Grande entreprise,Téléphones,Samsung Galaxy A15,4,87100,0,348400,272484,75916,Virement bancaire,Black Friday,4.0
CMD-100016,2023-07-18,Tchad,N'Djamena,Facebook,PME,Alimentation,Lait en poudre,4,7125,5,27075,16283,10792,Virement bancaire,Promo WhatsApp,4.3
CMD-100017,2024-01-25,Guinée équatoriale,Malabo,WhatsApp Business,PME,Téléphones,Samsung Galaxy A15,7,102795,0,719565,444070,275495,Carte bancaire,Fête de fin d'année,4.1
CMD-100018,2026-01-12,RDC,Lubumbashi,Boutique physique,Particulier,Téléphones,Redmi Note 13,13,156147,10,1826920,1053101,773819,Carte bancaire,Promo WhatsApp,4.7
CMD-100019,2025-03-10,RDC,Matadi,Instagram,PME,Électroménager,Ventilateur Binatone,15,25610,5,364943,200931,164012,Virement bancaire,Soldes Ramadan,3.5
CMD-100020,2026-01-15,RCA,Berbérati,Facebook,Particulier,Électroménager,Mixeur Moulinex,5,33404,0,167020,117979,49041,Mobile Money,Aucune campagne,3.1
CMD-100021,2024-04-26,RDC,Lubumbashi,Site web,Particulier,Téléphones,Samsung Galaxy A15,14,89913,10,1132904,643885,489019,Mobile Money,Aucune campagne,3.8
CMD-100022,2024-05-03,Congo,Nkayi,WhatsApp Business,Grande entreprise,Alimentation,Boisson gazeuse,15,3378,15,43070,32017,11053,Espèces,Promo WhatsApp,3.5
CMD-100023,2024-03-12,Gabon,Libreville,WhatsApp Business,PME,Téléphones,Redmi Note 13,10,160945,0,1609450,917033,692417,Mobile Money,Black Friday,4.0
CMD-100024,2025-12-19,Gabon,Port-Gentil,Site web,PME,Électroménager,Ventilateur Binatone,14,29002,0,406028,290372,115656,Mobile Money,Black Friday,3.0
CMD-100025,2024-02-21,Gabon,Libreville,Facebook,Grande entreprise,Téléphones,Tecno Spark 20,5,82487,0,412435,306750,105685,Virement bancaire,Fête de fin d'année,4.4
CMD-100026,2023-09-25,Guinée équatoriale,Malabo,Facebook,Particulier,Téléphones,Redmi Note 13,14,135683,0,1899562,1215834,683728,Virement bancaire,Aucune campagne,4.3
CMD-100027,2026-01-22,RCA,Berbérati,Facebook,Grande entreprise,Alimentation,Riz 25kg,2,22051,15,37487,29766,7721,Carte bancaire,Promo WhatsApp,3.1
CMD-100028,2024-03-06,Cameroun,Douala,Revendeur,Particulier,Informatique,Imprimante Canon,15,135992,0,2039880,1617032,422848,Espèces,Campagne Facebook Ads,4.4
CMD-100029,2023-12-29,Tchad,Moundou,Boutique physique,Particulier,Alimentation,Huile 5L,15,10758,0,161370,131286,30084,Espèces,Campagne Facebook Ads,4.8
CMD-100030,2025-08-21,RDC,Lubumbashi,Instagram,PME,Informatique,Dell Latitude,13,451634,5,5577680,4381184,1196496,Espèces,Campagne Facebook Ads,3.4
CMD-100031,2023-05-23,Guinée équatoriale,Malabo,Facebook,PME,Électroménager,Réfrigérateur LG,11,398278,0,4381058,2739137,1641921,Virement bancaire,Soldes Ramadan,4.9
CMD-100032,2024-06-27,Guinée équatoriale,Bata,Site web,PME,Téléphones,Samsung Galaxy A15,15,108547,0,1628205,1150748,477457,Espèces,Soldes Ramadan,3.1
CMD-100033,2025-06-12,Guinée équatoriale,Bata,Site web,Grande entreprise,Mode,Chaussures Nike,7,61868,0,433076,267976,165100,Carte bancaire,Fête de fin d'année,3.0
CMD-100034,2025-11-04,RDC,Kinshasa,Instagram,PME,Informatique,Imprimante Canon,11,133440,15,1247664,989413,258251,Virement bancaire,Soldes Ramadan,3.6
CMD-100035,2023-12-23,Gabon,Franceville,Facebook,PME,Électroménager,Mixeur Moulinex,7,37318,5,248165,181874,66291,Mobile Money,Fête de fin d'année,4.2
CMD-100036,2025-08-27,Gabon,Libreville,Revendeur,Particulier,Mode,Chemise homme,8,18188,15,123679,75159,48520,Mobile Money,Fête de fin d'année,4.6
CMD-100037,2024-04-05,Tchad,Sarh,WhatsApp Business,Particulier,Alimentation,Boisson gazeuse,2,3866,0,7732,5657,2075,Mobile Money,Black Friday,4.6
CMD-100038,2025-02-25,RDC,Kinshasa,WhatsApp Business,Particulier,Mode,Montre connectée,15,50757,0,761355,566412,194943,Mobile Money,Campagne Facebook Ads,4.0
CMD-100039,2023-04-13,Guinée équatoriale,Malabo,Boutique physique,PME,Mode,Sac à main,3,35232,15,89842,61977,27865,Carte bancaire,Campagne Facebook Ads,4.1
CMD-100040,2025-08-30,RDC,Goma,WhatsApp Business,Grande entreprise,Mode,Montre connectée,14,54082,5,719291,569855,149436,Espèces,Campagne Facebook Ads,3.9
CMD-100041,2024-11-18,Guinée équatoriale,Bata,Site web,Particulier,Électroménager,Télévision Hisense 43,8,211455,0,1691640,1037505,654135,Carte bancaire,Black Friday,3.6
CMD-100042,2025-05-01,Cameroun,Bafoussam,Instagram,PME,Électroménager,Mixeur Moulinex,2,35130,0,70260,48936,21324,Mobile Money,Campagne Facebook Ads,3.1
CMD-100043,2025-05-08,Guinée équatoriale,Bata,Revendeur,Grande entreprise,Mode,Chaussures Nike,6,53605,5,305549,238459,67090,Carte bancaire,Promo WhatsApp,4.1
CMD-100044,2025-04-08,Cameroun,Garoua,Instagram,Particulier,Mode,Montre connectée,1,47866,15,40687,29838,10849,Mobile Money,Promo WhatsApp,4.4
CMD-100045,2024-06-16,Tchad,Sarh,WhatsApp Business,PME,Téléphones,Samsung Galaxy A15,11,95679,5,999846,598974,400872,Espèces,Fête de fin d'année,3.8
CMD-100046,2026-01-09,Guinée équatoriale,Bata,Facebook,Particulier,Informatique,Clé USB 64GB,5,9978,5,47396,26315,21081,Mobile Money,Campagne Facebook Ads,3.1
CMD-100047,2023-09-16,RCA,Bangui,Boutique physique,Grande entreprise,Téléphones,Tecno Spark 20,4,94333,10,339599,200751,138848,Carte bancaire,Promo WhatsApp,3.9
CMD-100048,2023-12-02,RCA,Berbérati,Boutique physique,Grande entreprise,Informatique,Dell Latitude,10,441760,15,3754960,2793526,961434,Mobile Money,Fête de fin d'année,4.9
CMD-100049,2024-05-12,Tchad,Sarh,Facebook,Grande entreprise,Mode,Montre connectée,12,45579,10,492254,362528,129726,Mobile Money,Campagne Facebook Ads,3.2
